ChemicalID,DiseaseName,InferenceScore
C025205,4.99
C495657,5.66
C006718,4.37
C541120,6.11
C547593,6.86
C034041,6.51
C402363,6.66
C046839,6.17
C473650,6.17
C412791,6.31
C078219,6.23
C051412,6.11
C014843,6.23
C575652,6.17
C046838,6.17
C057584,6.31
C051452,5.89
C026486,3.79
C078328,7.21
C445379,6.66
C030435,7.21
C034193,6.4
D019813,3.37
D019813,2.65
C021220,6.4
C040756,5.3
C576882,4.54
C078329,7.21
C547592,6.86
C000948,7.21
C532657,5.6
C517943,4.99
C028474,3.44
C000597136,6.51
C024023,6.51
C034890,6.11
C110414,6.86
C035342,5.26
C510889,7.21
C053486,6.11
C508862,7.21
C004482,5.82
C040345,6.51
C080149,7.21
C571782,6.76
C121407,6.86
C042881,6.66
C050175,5.93
D015056,3.12
D015655,4.08
C051246,3.93
C022032,6.51
C053036,6.86
C025968,6.86
C041507,5.49
C525396,6.01
C029350,5.33
D015057,6.01
D015058,3.44
C040217,7.21
C032668,4.39
C468114,6.11
C548651,3.82
C054919,5.28
C483839,5.69
C029790,3.39
C477694,3.98
C511295,3.04
C035476,5.58
C520611,6.51
C093973,4.13
C404910,4.49
C120227,5.21
C002462,6.23
C552398,6.31
C027012,6.4
C087667,5.58
C067940,5.64
C014218,6.31
C070055,3.61
C035834,6.4
C034559,6.4
C053745,6.86
C038890,4.93
C066841,5.17
C014211,3.35
C486182,5.21
C570603,6.86
C100420,6.66
C471358,7.21
C110093,6.4
C440850,5.4
C541132,5.69
C018566,6.66
C014024,3.34
C038372,6.51
C035354,7.21
C484217,7.21
C533342,6.31
C425784,5.69
C059650,6.86
C010914,4.41
C004762,5.51
C509872,7.21
C016403,4.06
C085911,4.89
C085911,4.1
C009407,3.36
C034889,6.06
C028519,6.31
C038639,6.31
C000925,6.66
D015073,4.93
D015073,4.14
C522525,6.66
C049584,4.72
C049584,3.93
C523155,7.21
C036990,4.56
C017821,5.85
C029216,4.98
C085470,6.86
C121228,7.03
C023785,5.76
C017822,5.85
C054916,7.21
C025225,6.86
C025257,6.86
D000073738,5.85
C056902,7.21
C552400,7.21
C406304,6.86
C511621,4.71
C511621,3.92
C051247,6.86
C073955,7.21
C047719,6.51
C027384,6.66
C109834,6.51
C028405,5.69
C050590,6.4
C019499,4.59
C022960,5.89
C524315,6.66
C051290,5.69
C524063,5.56
C018855,4.51
C549241,6.51
C036685,5.97
C041525,4.82
C061844,7.21
D015101,5.93
C016392,4.6
C520945,6.51
C013279,5.74
C028451,4.08
C027309,5.2
C023035,3.31
C482492,4.83
C497286,5.64
C557505,5.89
C509288,5.51
C434003,4.67
C494914,6.59
C061843,7.21
C503867,7.21
C000590771,3.82
C019132,5.49
C019133,5.29
C503868,7.21
C091768,6.27
C091768,5.48
C529617,6.51
C047368,5.19
C117220,4.72
C042055,7.21
C067509,6.51
C033643,5.48
C035987,7.21
C473484,5.14
C584509,3.44
C008745,4.69
C090942,4.66
C583074,3.32
C459179,3.64
C459179,2.89
C099977,6.66
C053487,6.51
C117304,6.51
C083064,6.86
C007210,6.4
C065250,5.22
C099018,6.86
C487850,6.31
C068589,6.91
C040143,6.51
C020627,5.85
C024836,4.46
C016583,5.08
C041594,4.38
C075773,5.23
C012606,5.4
C012606,4.61
C013733,5.97
C000592885,6.91
C017518,6.66
C035724,6.51
C033999,6.06
C580598,5.92
C546607,5.28
C471843,6.59
C475093,5.02
C060556,7.21
C483321,5.49
C100101,6.23
C111855,4.81
C010643,4.88
C054923,5.89
C046305,6.51
C017503,6.51
C047249,6.4
C035986,5.85
C521871,6.17
C077646,5.39
D015123,3.16
C107882,6.4
C553817,4.87
C003001,5.09
C021219,6.4
C038954,6.17
D015124,3.93
C031255,6.51
D015127,4.4
D015127,3.61
C029126,6.51
C041014,6.4
C046962,6.51
C035016,6.4
C042309,6.4
C496492,2.81
C044587,7.21
C042552,6.11
D000082,3.21
D000082,2.52
D000111,4.47
D000111,3.68
C081939,6.86
C063261,5.35
C064882,6.31
D000166,5.89
C096064,5.06
C058956,5.21
C106812,4.79
D000244,5.15
D000255,4.36
D000266,6.4
D000336,4.42
C016601,3.98
